t,o,h,l,c,a,v,ch
2016-07-11,31.897,32.797,31.873,32.697,29.658593,8019285,3.29
2016-07-18,33.11,33.67,32.96,33.517,30.402401,7096215,2.51
2016-07-25,33.51,35.343,33.51,34.667,31.445546,12064494,3.43
2016-08-01,34.743,35.0,33.953,34.963,31.714648,9709374,0.86
2016-08-08,35.083,35.34,34.82,35.263,31.986773,5975124,0.86
2016-08-15,35.337,36.137,35.297,36.05,32.700345,6513993,2.23
2016-08-22,35.993,36.523,35.833,36.25,32.881762,4386081,0.55
2016-08-29,36.403,36.777,36.097,36.55,33.153887,8497494,0.83
2016-09-06,36.613,36.663,34.737,34.843,31.605798,8799231,-4.67
2016-09-12,34.56,36.69,34.443,36.32,32.945258,8170530,4.24
2016-09-19,36.547,37.05,36.11,36.443,33.057131,5426928,0.34
2016-09-26,36.033,37.907,35.783,37.663,34.307139,6978735,3.78
2016-10-03,37.753,37.917,37.17,37.75,34.386084,12491619,0.23
2016-10-10,37.927,38.07,35.633,36.49,33.238363,8096748,-3.34
2016-10-17,36.453,36.957,36.22,36.73,33.456976,5940459,0.66
2016-10-24,36.923,37.767,36.88,36.92,33.630045,5838153,0.52
2016-10-31,37.05,37.42,36.0,36.253,33.022785,7820607,-1.81
2016-11-07,36.927,37.823,36.033,37.763,34.398228,18399618,4.17
2016-11-14,37.95,39.46,37.467,39.41,35.89816,6116445,4.36
2016-11-21,39.53,40.237,39.393,40.217,36.632944,4015395,2.05
2016-11-28,40.12,40.28,37.623,38.317,34.902254,8911326,-4.72
2016-12-05,38.65,40.89,38.397,40.343,36.748324,6143103,5.29
2016-12-12,40.183,41.473,39.707,40.73,37.100535,8782593,0.96
2016-12-19,40.837,41.897,40.787,41.843,38.203549,5539038,2.97
2016-12-27,41.927,42.637,40.773,40.907,37.348359,7597674,-2.24
2017-01-03,41.047,41.493,40.513,40.993,37.427487,5825058,0.21
2017-01-09,41.137,41.79,40.793,41.69,38.063554,5409366,1.7
2017-01-17,41.537,42.183,40.883,41.927,38.279633,6906585,0.57
2017-01-23,41.77,43.41,41.347,43.397,39.621764,9054222,3.51
2017-01-30,43.2,43.58,42.357,43.5,39.716109,7050579,0.24
2017-02-06,43.587,44.067,43.063,43.487,39.703935,5199255,-0.03
2017-02-13,43.607,44.097,43.187,44.09,40.254787,4168509,1.39
2017-02-21,44.24,44.78,43.134,43.967,40.142182,6034305,-0.28
2017-02-27,43.99,44.717,43.729,44.023,40.19392,8852424,0.13
2017-03-06,43.9,44.933,43.537,44.84,40.939548,8137197,1.86
2017-03-13,44.977,45.557,44.673,45.447,41.493442,6087417,1.35
2017-03-20,45.563,45.987,44.597,45.293,41.461713,7905024,-0.08
2017-03-27,44.86,45.858,44.673,45.63,41.769899,4813884,0.74
2017-04-03,45.65,45.76,44.413,45.063,41.25117,6713838,-1.24
2017-04-10,45.067,45.11,43.287,43.303,39.640058,5426385,-3.91
2017-04-17,43.473,45.057,43.473,44.787,40.997908,7949475,3.43
2017-04-24,45.443,46.22,45.25,45.37,41.531894,10490052,1.3
2017-05-01,45.48,45.833,45.084,45.64,41.779053,8730930,0.6
2017-05-08,45.617,47.27,45.373,47.187,43.194878,7250610,3.39
2017-05-15,47.387,48.623,46.387,47.897,43.844815,10067817,1.5
2017-05-22,48.207,49.033,47.857,49.01,44.863966,5581983,2.32
2017-05-30,49.007,49.943,48.95,49.883,45.663419,5143089,1.78
2017-06-05,49.867,51.983,48.303,49.3,45.129433,10211553,-1.17
2017-06-12,48.683,49.833,47.603,48.253,44.17131,15727689,-2.12
2017-06-19,48.787,49.49,48.607,49.213,45.050098,6308484,1.99
2017-06-26,49.493,49.76,46.347,46.733,42.8853,10531899,-4.81
