date,snapshot_et,projected_action,projected_class,settled_action,agreed,spot_at_preview,close
2026-07-14,15:52,EXIT,CLEAR,EXIT,True,570.15,567.92
2026-07-15,15:38,NONE,NONE,NONE,True,553.45,555.27
2026-07-16,15:57,NONE,NONE,NONE,True,529.69,530.5
2026-07-17,15:38,NONE,NONE,NONE,True,524.2,521.81
2026-07-20,15:45,NONE,NONE,NONE,True,526.18,524.14
2026-07-21,15:37,NONE,NONE,NONE,True,551.71,552.69
2026-07-22,15:37,NONE,NONE,NONE,True,557.69,555.52
2026-07-23,15:37,NONE,NONE,NONE,True,548.77,551.24
2026-07-24,15:37,NONE,NONE,NONE,True,527.19,527.01
2026-07-27,15:37,NONE,NONE,NONE,True,515.51,516.23
2026-07-28,15:37,NONE,NONE,NONE,True,494.04,491.46
2026-07-29,15:37,NONE,NONE,NONE,True,474.13,465.0
2026-07-30,15:37,NONE,NONE,NONE,True,504.52,504.53
2026-07-31,15:37,NONE,NONE,NONE,True,509.49,504.89
2026-08-03,15:38,NONE,NONE,NONE,True,507.39,507.68
2026-08-04,15:38,NONE,NONE,NONE,True,543.81,542.21
2026-08-05,15:37,NONE,NONE,NONE,True,537.12,530.7
2026-08-07,15:45,NONE,NONE,NONE,True,540.44,543.27
2026-08-10,15:49,NONE,NONE,NONE,True,535.09,529.39
2026-08-11,15:56,NONE,NONE,NONE,True,534.71,534.2
2026-08-12,15:57,NONE,NONE,NONE,True,546.84,546.61
